Gender,County_of_residence,At_work_school_or_college,VALUE_BAR
Male,Dublin City,Population aged 15 years and over at work,8168
Male,Wexford,Population aged 15 years and over at work,2424
Male,Wicklow,Population aged 15 years and over at work,5169
Male,Cork County,Population aged 15 years and over at work,6133
Male,Galway County,Population aged 15 years and over at work,3207
Male,Mayo,Population aged 15 years and over at work,1696
Male,Sligo,Population aged 15 years and over at work,509
Female,Dublin City,Population aged 15 years and over at work,7887
Female,Wexford,Population aged 15 years and over at work,1103
Female,Wicklow,Population aged 15 years and over at work,3326
Female,Cork County,Population aged 15 years and over at work,4082
Female,Galway County,Population aged 15 years and over at work,2319
Female,Mayo,Population aged 15 years and over at work,989
Female,Sligo,Population aged 15 years and over at work,261
